doc_id,prompt_version,model,governing_law,notice_period_days,change_of_control,parse_status,latency_s,input_tokens,output_tokens,input_chars,orig_chars,n_windows,raw_response
UAGHINC_04_14_2004-EX-10.18-MAINTENANCE AGREEMENT,v1,lite,Delaware,180,,ok,0.79,1803,39,7687,16823,3,"{
  ""governing_law"": ""Delaware"",
  ""notice_period_days"": 180,
  ""change_of_control"": null
}"
XpresspaGroupInc_20190401_10-K_EX-10.28_11599457_EX-10.28_Marketing Agreement,v1,lite,New York,30,False,ok,0.81,3911,38,17307,52106,8,"{
  ""governing_law"": ""New York"",
  ""notice_period_days"": 30,
  ""change_of_control"": false
}"
EdietsComInc_20001030_10QSB_EX-10.4_2606646_EX-10.4_Co-Branding Agreement,v1,lite,California,60,True,ok,0.7,2973,37,13673,64192,6,"{
  ""governing_law"": ""California"",
  ""notice_period_days"": 60,
  ""change_of_control"": true
}"
PacificapEntertainmentHoldingsInc_20051115_8-KA_EX-1.01_4300894_EX-1.01_Content License Agreement,v1,lite,,60,,ok,0.61,629,36,2329,18138,1,"{
  ""governing_law"": null,
  ""notice_period_days"": 60,
  ""change_of_control"": null
}"
LegacyEducationAllianceInc_20200330_10-K_EX-10.18_12090678_EX-10.18_Development Agreement,v1,lite,New York,90,False,ok,0.81,3945,38,17140,46255,7,"{
  ""governing_law"": ""New York"",
  ""notice_period_days"": 90,
  ""change_of_control"": false
}"
UsioInc_20040428_SB-2_EX-10.11_1723988_EX-10.11_Affiliate Agreement 2,v1,lite,,30,True,ok,0.71,2399,36,8771,26115,3,"{
  ""governing_law"": null,
  ""notice_period_days"": 30,
  ""change_of_control"": true
}"
HealthcareIntegratedTechnologiesInc_20190812_8-K_EX-10.1_11776966_EX-10.1_Reseller Agreement,v1,lite,New York,90,False,ok,56.95,1677,38,7472,22288,1,"{
  ""governing_law"": ""New York"",
  ""notice_period_days"": 90,
  ""change_of_control"": false
}"
VertexEnergyInc_20200113_8-K_EX-10.1_11943624_EX-10.1_Marketing Agreement,v1,lite,Alabama,120,True,ok,0.7,2586,38,11259,45072,4,"{
  ""governing_law"": ""Alabama"",
  ""notice_period_days"": 120,
  ""change_of_control"": true
}"
ENERGYXXILTD_05_08_2015-EX-10.13-Transportation AGREEMENT,v1,lite,Texas,30,,ok,0.6,2250,37,9685,60982,5,"{
  ""governing_law"": ""Texas"",
  ""notice_period_days"": 30,
  ""change_of_control"": null
}"
UpjohnInc_20200121_10-12G_EX-2.6_11948692_EX-2.6_Manufacturing Agreement_ Supply Agreement,v1,lite,,,,ok,0.78,6317,34,27897,225094,12,"{
  ""governing_law"": null,
  ""notice_period_days"": null,
  ""change_of_control"": null
}"
Apollo Endosurgery - Manufacturing and Supply Agreement,v1,lite,Texas,365,False,ok,0.75,1579,38,6687,48253,3,"{
  ""governing_law"": ""Texas"",
  ""notice_period_days"": 365,
  ""change_of_control"": false
}"
MOELIS_CO_03_24_2014-EX-10.19-STRATEGIC ALLIANCE AGREEMENT,v1,lite,,180,True,ok,0.75,6126,37,26985,122054,10,"{
  ""governing_law"": null,
  ""notice_period_days"": 180,
  ""change_of_control"": true
}"
TomOnlineInc_20060501_20-F_EX-4.46_749700_EX-4.46_Co-Branding Agreement,v1,lite,England and Wales,60,True,ok,56.81,4944,39,22788,112361,9,"{
  ""governing_law"": ""England and Wales"",
  ""notice_period_days"": 60,
  ""change_of_control"": true
}"
VERICELCORP_08_06_2019-EX-10.10-SUPPLY AGREEMENT,v1,lite,New York,,False,ok,2.0,3174,36,13248,102006,5,"{
  ""governing_law"": ""New York"",
  ""notice_period_days"": null,
  ""change_of_control"": false
}"
NEONSYSTEMSINC_03_01_1999-EX-10.5-DISTRIBUTOR AGREEMENT_New,v1,lite,Texas,60,True,ok,0.72,2490,37,11971,61463,4,"{
  ""governing_law"": ""Texas"",
  ""notice_period_days"": 60,
  ""change_of_control"": true
}"
TubeMediaCorp_20060310_8-K_EX-10.1_513921_EX-10.1_Affiliate Agreement,v1,lite,New York,180,False,ok,0.96,3644,39,17231,69973,5,"{
  ""governing_law"": ""New York"",
  ""notice_period_days"": 180,
  ""change_of_control"": false
}"
EmeraldHealthBioceuticalsInc_20200218_1-A_EX1A-6 MAT CTRCT_11987205_EX1A-6 MAT CTRCT_Development Agreement,v1,lite,Arizona,60,,ok,0.76,1592,37,6297,16459,3,"{
  ""governing_law"": ""Arizona"",
  ""notice_period_days"": 60,
  ""change_of_control"": null
}"
ENTERTAINMENTGAMINGASIAINC_02_15_2005-EX-10.5-DISTRIBUTOR AGREEMENT,v1,lite,"Ontario, Canada",90,True,ok,0.68,2139,39,9956,44702,4,"{
  ""governing_law"": ""Ontario, Canada"",
  ""notice_period_days"": 90,
  ""change_of_control"": true
}"
"VAPOTHERM, INC. - Manufacturing and Supply Agreement",v1,lite,New York,,True,ok,55.09,6042,36,26559,75632,8,"{
  ""governing_law"": ""New York"",
  ""notice_period_days"": null,
  ""change_of_control"": true
}"
